mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,mean_train_score,std_train_score
0.5066761076450348,0.03131538332967866,0.002496778964996338,0.0014700470978679465,0.749816047538945,0.4753571532049581,0.22227824312530747,7,5,202,0.44583275285359114,1.1999498316360058,0.7836995567863468,"{'colsample_bytree': np.float64(0.749816047538945), 'gamma': np.float64(0.4753571532049581), 'learning_rate': np.float64(0.22227824312530747), 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 202, 'reg_alpha': np.float64(0.44583275285359114), 'reg_lambda': np.float64(1.1999498316360058), 'subsample': np.float64(0.7836995567863468)}",0.24074074074074073,0.3429193899782135,0.37079124579124584,0.29415149612889724,0.33553553553553556,0.33853702051739515,0.3502206531332745,0.20540540540540542,0.3163059163059163,0.27371210349933756,0.31009813232035455,0.25328919446566506,0.22103386809269163,0.32385213593267287,0.3228653530377668,0.4101788863693625,0.3068523173284047,0.05395240531528748,24,0.9994982704209336,0.9995278282124057,1.0,0.9978723051775132,0.9995104216326939,0.9980057657733313,0.9975095147574269,0.9995061668031635,0.999517142167346,0.9995007288069057,1.0,0.9978864853242065,0.9995260532104074,0.9973851582819643,0.9995189154763849,0.9995252572624983,0.9990181258316988,0.0008911997691475247
1.305132120847702,0.06491044555571142,0.0027026385068893433,0.001842696960481688,0.7334834444556088,0.07143340896097039,0.19875765715516733,7,2,443,0.8324426408004217,1.4246782213565523,0.6727299868828402,"{'colsample_bytree': np.float64(0.7334834444556088), 'gamma': np.float64(0.07143340896097039), 'learning_rate': np.float64(0.19875765715516733), 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 443, 'reg_alpha': np.float64(0.8324426408004217), 'reg_lambda': np.float64(1.4246782213565523), 'subsample': np.float64(0.6727299868828402)}",0.24074074074074073,0.35213675213675216,0.33390167661267406,0.27424544201011186,0.33553553553553556,0.30696991929567136,0.3450980392156863,0.16593744935990926,0.32264957264957267,0.22618773505257503,0.358974358974359,0.31789546555901693,0.22685185185185186,0.35352925839013666,0.26350588614739556,0.3510204081632653,0.2984487557309534,0.05658643078813604,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5932747423648834,0.032814916319568975,0.0016500353813171387,0.0002824710652172698,0.6733618039413735,0.15212112147976886,0.16217936517334897,6,9,148,0.5247746602583891,1.799721943430511,0.6186662652854461,"{'colsample_bytree': np.float64(0.6733618039413735), 'gamma': np.float64(0.15212112147976886), 'learning_rate': np.float64(0.16217936517334897), 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 148, 'reg_alpha': np.float64(0.5247746602583891), 'reg_lambda': np.float64(1.799721943430511), 'subsample': np.float64(0.6186662652854461)}",0.24074074074074073,0.3272005772005772,0.3444444444444445,0.32011935208866155,0.33076923076923076,0.2825999598151497,0.3398221178050009,0.22586994174145802,0.3205128205128205,0.2637840311141615,0.3600819214299013,0.273238034279212,0.25311502419936155,0.29262173565971034,0.2879720853858785,0.3540031397174254,0.30105594730648344,0.04055584361174098,35,0.9989969992189748,0.9980325274792722,0.9985091366764025,1.0,1.0,0.9980059980825411,0.9975100638545186,0.9978326093184106,0.997769180122645,0.99849637706359,0.9975551617183916,0.9967151391174159,0.9995260532104074,0.9973851582819643,1.0,0.9968817387356713,0.9983260089300128,0.0010585267799962641
4.732884436845779,0.155898576640935,0.004131540656089783,0.002203405067823662,0.9895022075365837,0.11638567021515211,0.03627586601451803,8,3,463,0.5142344384136116,2.184829137724085,0.6185801650879991,"{'colsample_bytree': np.float64(0.9895022075365837), 'gamma': np.float64(0.11638567021515211), 'learning_rate': np.float64(0.03627586601451803), 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 463, 'reg_alpha': np.float64(0.5142344384136116), 'reg_lambda': np.float64(2.184829137724085), 'subsample': np.float64(0.6185801650879991)}",0.24074074074074073,0.3429193899782135,0.3080459770114942,0.29010989010989013,0.3567740182089958,0.2912011916161294,0.3502206531332745,0.19193124850799714,0.350684017350684,0.25648656898656896,0.5208955223880597,0.27486574389229257,0.2220032840722496,0.36914414414414415,0.3065134099616858,0.348667672197084,0.313825217018719,0.07379193519728902,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.113730564713478,0.06682101175167719,0.003103703260421753,0.0014516603169869126,0.8430179407605753,0.08526206184364576,0.02886496196573106,6,9,415,0.5632882178455393,1.7708330050798322,0.6063865008880857,"{'colsample_bytree': np.float64(0.8430179407605753), 'gamma': np.float64(0.08526206184364576), 'learning_rate': np.float64(0.02886496196573106), 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 415, 'reg_alpha': np.float64(0.5632882178455393), 'reg_lambda': np.float64(1.7708330050798322), 'subsample': np.float64(0.6063865008880857)}",0.24074074074074073,0.35213675213675216,0.3129251700680272,0.3054263565891473,0.3073015873015873,0.2996689584924879,0.357281083696178,0.17048534121704853,0.3174563277617192,0.25648656898656896,0.33809657233585505,0.2689660388775433,0.22017932130291681,0.3421843549232084,0.3228653530377668,0.368149824032177,0.2987718969687328,0.05270290997511369,38,0.978578436716834,0.9741958432487637,0.977998390888906,0.9766393048200724,0.9830862357987189,0.9760904621983593,0.9756178419845422,0.9681993436837515,0.9767288691215626,0.9749226226352116,0.9776658016226691,0.9712166240748398,0.9726223454467083,0.9808963859999517,0.97073740182884,0.9769889352625413,0.975761552833267,0.003674393976020903
0.5650968700647354,0.03278300296406091,0.0021136999130249023,0.0015650474718953726,0.6923575302488596,0.12051273301300586,0.2081464204593829,6,8,134,0.9093204020787821,1.5175599632000338,0.8650089137415928,"{'colsample_bytree': np.float64(0.6923575302488596), 'gamma': np.float64(0.12051273301300586), 'learning_rate': np.float64(0.2081464204593829), 'max_depth': 6, 'min_child_weight': 8, 'n_estimators': 134, 'reg_alpha': np.float64(0.9093204020787821), 'reg_lambda': np.float64(1.5175599632000338), 'subsample': np.float64(0.8650089137415928)}",0.24074074074074073,0.35213675213675216,0.3502195204322864,0.23436692506459947,0.34341704718417043,0.292638786989484,0.3315911730545877,0.22922052487269876,0.30833333333333335,0.22858025406386348,0.3530598096678641,0.29195976098630966,0.22766995800703668,0.3929779520767634,0.33167894921542085,0.3718654434250765,0.30502855820318675,0.05516845147683322,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995223340777377,1.0,1.0,1.0,1.0,0.9999701458798587,0.00011562451012328918
0.8575040549039841,0.040628706462149604,0.0019269585609436035,0.000637219982563794,0.7246844304357644,0.2600340105889054,0.1685459810095511,8,2,317,0.44975413336976566,1.7903004720036289,0.9706635463175177,"{'colsample_bytree': np.float64(0.7246844304357644), 'gamma': np.float64(0.2600340105889054), 'learning_rate': np.float64(0.1685459810095511), 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 317, 'reg_alpha': np.float64(0.44975413336976566), 'reg_lambda': np.float64(1.7903004720036289), 'subsample': np.float64(0.9706635463175177)}",0.24074074074074073,0.37601824698598896,0.3153153153153153,0.2795714849921011,0.3235349185545778,0.2912011916161294,0.3467479674796748,0.17094853600848217,0.31808278867102396,0.27766323024054984,0.3048699933945836,0.32403134842159237,0.2334869431643625,0.31996148908857514,0.29405371836671323,0.3356544165054804,0.2969926455966182,0.04797444546016709,43,1.0,0.9995278282124057,1.0,1.0,1.0,1.0,0.9995138446122539,1.0,1.0,1.0,1.0,1.0,1.0,0.9995135332219126,1.0,1.0,0.9999097003779107,0.00018799581714527797
0.9834103882312775,0.050069258370556015,0.0023196786642074585,0.0015522965267036268,0.8909087983425683,0.1632703844029177,0.17542875257756582,6,9,289,0.32533033076326434,1.777354579378964,0.7085396127095583,"{'colsample_bytree': np.float64(0.8909087983425683), 'gamma': np.float64(0.1632703844029177), 'learning_rate': np.float64(0.17542875257756582), 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 289, 'reg_alpha': np.float64(0.32533033076326434), 'reg_lambda': np.float64(1.777354579378964), 'subsample': np.float64(0.7085396127095583)}",0.26484857770287523,0.36287625418060204,0.3444444444444445,0.2931477093206951,0.2979706319089259,0.33275387512675647,0.3434959349593496,0.19656457624372062,0.34160873882820253,0.2860342098150508,0.3161290322580645,0.3017651798139603,0.22144194756554306,0.38789238336118775,0.28815401335196394,0.4040962919821394,0.3114514875539676,0.05352758473614562,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1435176134109497,0.0322682831307606,0.002472296357154846,0.0011472133122615283,0.9314950036607718,0.17837666334679464,0.09147100780934041,6,9,256,0.8021969807540397,1.1491012873595416,0.9947547746402069,"{'colsample_bytree': np.float64(0.9314950036607718), 'gamma': np.float64(0.17837666334679464), 'learning_rate': np.float64(0.09147100780934041), 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 256, 'reg_alpha': np.float64(0.8021969807540397), 'reg_lambda': np.float64(1.1491012873595416), 'subsample': np.float64(0.9947547746402069)}",0.24074074074074073,0.3572729638303409,0.3080459770114942,0.2691548183254345,0.2998998998998999,0.3120353626682741,0.357281083696178,0.1968599033816425,0.3641588296760711,0.274709245022669,0.33357892797937,0.3109833971902937,0.2220032840722496,0.3514672983287275,0.31203007518796994,0.4040060468631897,0.30713924086715905,0.054057194931088536,22,0.9975043118583614,0.9990559851670963,0.9990610727797975,0.9973745666239592,0.9995104216326939,0.9980057657733313,0.9975095147574269,0.9968451070378048,0.9972863231087574,0.9974985046901114,0.9975551617183916,0.996237809802477,0.9974186572850584,0.9973851582819643,0.9978562211383283,0.9979719766459513,0.9977547848938445,0.0008129038175733762
1.4661128520965576,0.07564410023597981,0.0021537989377975464,0.0009798144252900398,0.908897907718663,0.0993578407670862,0.011601413965844696,5,3,180,0.71134195274865,2.5803510810624113,0.8423839899124046,"{'colsample_bytree': np.float64(0.908897907718663), 'gamma': np.float64(0.0993578407670862), 'learning_rate': np.float64(0.011601413965844696), 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 180, 'reg_alpha': np.float64(0.71134195274865), 'reg_lambda': np.float64(2.5803510810624113), 'subsample': np.float64(0.8423839899124046)}",0.24074074074074073,0.31746031746031744,0.3176733780760626,0.23030303030303031,0.32009400705052876,0.26666666666666666,0.3536613536613537,0.14198628397256796,0.3282051282051282,0.2806647940074906,0.3264591926009249,0.25328919446566506,0.20338164251207727,0.3147920022742348,0.24681238615664844,0.39921502663302494,0.28383782154915393,0.061465264337169416,50,0.6214682443602199,0.6421584191638996,0.6463440905600569,0.6637889537733109,0.6541751437236857,0.6566359334928185,0.653167785615896,0.6785979371505687,0.6393126679331286,0.6417725679019423,0.6920996885015723,0.6601362008558611,0.6432174154028458,0.6652467411818662,0.6519874439035498,0.6820732752010336,0.6557614067951409,0.017330326205796033
